run_id,experiment_id,status,metrics.test_loss,metrics.train_loss,params.hydrocarbons,params.subgraph_depth,params.collective,params.funnel,params.dataset,params.cycle_size,params.paths,params.relaxations,params.oxy,params.nitro,params.y_shape,params.parameter_size,params.model,params.cycles,params.max_depth,params.num_layers,params.learning_rate,params.sulfuric,params.architecture,params.circular,params.nbhoods,params.chem_rules,params.subgraphs
69a0a11ca62e47e09ec97d372fb6d184,2185254781789756,FINISHED,0.07471264367816093,0.0687877901081395,False,3,True,False,human_intestinal_absorption,8,True,False,False,True,True,4,gnn,True,1,2,0.00030153937503084105,True,CCE,True,False,,
20949b87a068431e8b122aa30d3a06d2,2185254781789756,FINISHED,0.3360655737704918,0.16935692431919352,False,6,False,False,skin_reaction,9,True,False,True,False,False,3,gnn,True,1,1,0.0007982404057779759,True,CCD,True,True,,
6581cb6b2d704fb6b92175857887c76d,2185254781789756,FINISHED,0.38524590163934425,0.20748153339459474,True,3,True,False,skin_reaction,6,True,False,False,True,True,1,gnn,False,1,1,0.0007218067777845716,False,CCE,True,True,,
61ec8c2f88c14513ab9776726f148366,2185254781789756,FINISHED,0.319672131147541,0.17935417641111812,True,1,True,False,skin_reaction,5,True,False,False,False,True,4,gnn,False,1,1,0.00025589554919918544,True,CCE,True,True,,
ed336ef44173485d952c129fc865d09f,2185254781789756,FINISHED,0.36065573770491804,0.18014757589628438,False,7,False,False,skin_reaction,10,True,False,True,False,False,3,gnn,True,1,1,0.00040436899348339684,True,CCD,True,True,,
0b28e2835d514966917d232522c05019,2185254781789756,FINISHED,0.36065573770491804,0.15321674131766638,True,2,True,False,skin_reaction,6,True,False,False,False,True,4,gnn,False,1,1,0.000828648034757988,True,CCE,True,True,,
788009e5f6604719a53c3964f0310bc3,2185254781789756,FINISHED,0.2604166666666667,0.16740936500236334,False,3,False,False,oral_bioavailability,6,True,False,False,False,False,3,gnn,False,1,1,0.0001662958990045762,True,CCE,True,False,,
afa70f5b4b524697a1828d0cdff33722,2185254781789756,FINISHED,0.15517241379310345,0.10953764916778153,True,3,True,False,human_intestinal_absorption,10,True,True,False,True,False,2,gnn,False,1,3,6.0242677569297616e-05,False,CCD,True,False,,
3330d208a2df4b79a100d084b8608efb,2185254781789756,FINISHED,0.32786885245901637,0.18488954701498775,True,1,True,False,skin_reaction,7,True,False,False,False,True,2,gnn,False,1,1,0.0004040891906389038,True,CCE,True,True,,
4b0cef978a6e4e48ae3f218dbb7559a8,2185254781789756,FINISHED,0.15517241379310345,0.6044008750605044,False,2,True,False,human_intestinal_absorption,9,True,False,False,True,False,2,gnn,True,1,4,1.0392779811794512e-05,True,CCE,False,False,,
5a4cf5133b604a66b4f3abae59abc410,2185254781789756,FINISHED,0.3442622950819672,0.19715456966427045,False,5,False,False,skin_reaction,9,True,False,True,True,True,3,gnn,True,1,3,0.008127386284812625,True,CCD,True,True,,
1b4000528efa447fa5b4c779e6597acd,2185254781789756,FINISHED,0.3524590163934426,0.19212698605007758,True,1,True,False,skin_reaction,6,True,False,False,False,True,2,gnn,False,1,1,0.000601017995717681,True,CCE,True,True,,
099b6f23101d48f5979fe61ce31cb542,2185254781789756,FINISHED,0.38524590163934425,0.29362983910037327,False,3,False,False,skin_reaction,10,False,False,True,False,False,4,gnn,False,1,2,0.06180902622956593,True,CCD,True,True,,
0f77a5e053404572993c8248b3b605c1,2185254781789756,FINISHED,0.32786885245901637,0.13620316352058595,True,3,True,False,skin_reaction,6,True,False,False,False,True,3,gnn,False,1,1,0.0014134520908971014,True,CCE,True,True,,
4f386ac52e9c4fec9b3a7434eace9d6a,2185254781789756,FINISHED,0.13793103448275862,0.08359647854722839,True,1,True,False,human_intestinal_absorption,9,True,True,True,True,False,2,gnn,False,1,2,0.0016678963978304792,False,CCD,True,False,,
3ebcb389afdd40e6b45cf5da22c75d00,2185254781789756,FINISHED,0.22916666666666666,0.14064615473833186,False,8,True,False,oral_bioavailability,10,False,False,False,False,False,2,gnn,False,1,3,0.0058148208708277945,False,CCD,False,True,,
18381c04f17a4875805defae30815fbe,2185254781789756,FINISHED,0.29508196721311475,0.15872746200748283,True,3,True,False,skin_reaction,6,True,False,False,False,True,3,gnn,False,1,1,0.0006269622286530849,True,CCE,True,True,,
3adacf1041ab4bbe8ee142626b250439,2185254781789756,FINISHED,0.32786885245901637,0.1899146702964368,False,2,True,False,skin_reaction,5,True,False,False,False,True,4,gnn,False,1,2,0.0001160066149437758,True,CCE,True,True,,
bf985770f98b4d04ac8540d75edc0e25,2185254781789756,FINISHED,0.09195402298850575,0.08519432103428701,False,4,True,False,human_intestinal_absorption,7,True,False,False,True,True,3,gnn,False,1,2,0.013237740490380597,True,CCE,False,False,,
e4b493e1afd342678d86a55d64318c9a,2185254781789756,FINISHED,0.3442622950819672,0.18105802439440982,False,6,False,False,skin_reaction,10,True,False,True,False,False,2,gnn,True,1,2,0.0027476605975301216,True,CCD,True,True,,
2236a9fe72714a488eadfe9bb91205f5,2185254781789756,FINISHED,0.25,0.15754958720787635,True,1,True,False,oral_bioavailability,10,True,False,False,False,False,2,gnn,False,1,3,0.0019485928092555606,True,CCE,True,False,,
10ca10b3218740ad95ebc1d47287965e,2185254781789756,FINISHED,0.3770491803278688,0.11753280104103155,True,5,True,False,skin_reaction,9,True,False,True,False,True,4,gnn,False,1,2,0.0021492268101117084,True,CCE,True,True,,
80f882a54b3042c1b9a9d11b32651463,2185254781789756,FINISHED,0.28688524590163933,0.15120291078367348,False,6,False,False,skin_reaction,10,True,False,True,False,False,3,gnn,True,1,2,0.0027534214195379576,True,CCD,True,True,,
